;Calories (kcal);Calories burned (kcal);Fat (g);Saturated (g);Polyunsaturated (g);Monounsaturated (g);Trans (g);Cholesterol (mg);Salt (g);Sodium (mg);Potassium (mg);Carbohydrate (g);Net carbs (g);Dietary fiber (g);Sugars (g);Sugar alcohols (g);Protein (g);Vitamin A (%);Vitamin C (%);Calcium (%);Iron (%);Magnesium (mg)
6/10/2021;1604;0;68;24;2;14;0;0;3;175;0;116;103;13;39;0;133;0;0;0;0;0
5/10/2021;1530;0;67;7;0;0;0;0;1;7;281;114;112;2;13;0;113;9;25;2;4;0
4/10/2021;1586;0;92;34;0;0;0;0;3;15;604;66;50;17;9;0;134;22;56;4;10;0
3/10/2021;1495;0;74;11;0;0;0;0;3;2;88;79;64;14;19;0;126;0;4;1;1;0
2/10/2021;1343;0;64;24;0;0;0;0;0;2;88;66;64;1;21;0;124;0;4;1;1;0
1/10/2021;1164;0;54;16;0;0;0;0;0;5;176;43;43;2;11;0;136;0;8;2;2;0
30/9/2021;1507;0;47;0;0;0;0;0;0;0;0;147;147;0;0;0;124;0;0;0;0;0
29/9/2021;1304;0;40;19;0;0;0;0;0;5;195;93;86;8;12;0;138;4;9;3;3;0
28/9/2021;1220;0;52;3;1;7;0;0;3;430;0;72;60;12;9;0;119;0;0;0;0;0
27/9/2021;1484;0;61;19;0;0;0;0;4;13;532;105;90;16;44;0;129;24;55;2;9;0
26/9/2021;1499;0;58;0;0;0;0;0;0;0;0;94;94;0;0;0;150;0;0;0;0;0
25/9/2021;1468;0;56;2;0;0;0;0;2;0;0;106;92;14;2;0;148;0;132;0;0;0
24/9/2021;1441;0;42;0;0;0;0;0;0;9;402;96;93;2;22;0;168;13;32;2;5;0
23/9/2021;1642;0;71;16;0;0;0;0;0;0;0;128;128;0;16;0;116;0;0;0;0;0
22/9/2021;1294;0;44;8;0;0;0;0;1;16;672;94;90;4;32;0;132;22;56;4;9;0
21/9/2021;1548;0;54;10;1;7;0;0;5;124;145;119;111;8;36;0;149;7;15;1;2;0
20/9/2021;1687;0;50;5;2;14;0;0;0;250;1051;113;105;8;61;0;205;13;32;2;5;0
19/9/2021;1570;0;64;25;0;0;0;0;0;1557;259;105;102;3;40;0;142;0;12;3;3;0
18/9/2021;2036;0;62;29;0;0;0;0;4;2;83;264;261;3;115;0;83;0;4;1;1;0
17/9/2021;1402;0;49;17;0;0;0;0;0;240;0;112;100;12;19;0;127;0;0;0;0;0
16/9/2021;1533;0;48;4;0;0;0;0;1;1205;1178;128;118;10;48;0;159;9;24;2;4;0
15/9/2021;1472;0;55;2;0;0;0;0;2;14;520;132;114;18;31;0;116;18;46;4;8;0
14/9/2021;1601;0;57;2;0;0;0;0;2;10;1334;133;108;25;52;0;154;9;23;2;4;0
13/9/2021;1453;0;59;2;1;7;0;0;0;718;210;110;108;1;7;0;124;6;14;1;3;0
12/9/2021;1584;0;52;12;1;1;0;0;0;317;1071;155;145;10;74;0;129;36;9;2;8;0
11/9/2021;1498;0;52;10;1;5;0;0;0;84;1440;174;162;13;91;0;94;39;115;3;9;0
10/9/2021;1566;0;44;4;2;14;0;0;0;242;75;127;126;1;48;0;169;13;4;1;1;0
9/9/2021;1447;0;49;18;1;7;0;0;0;7;896;137;129;8;82;0;119;0;8;2;2;0
8/9/2021;1513;0;51;2;1;7;0;0;0;770;400;102;98;2;8;0;181;13;31;2;6;0
7/9/2021;1473;0;37;4;2;14;0;0;0;1458;1068;112;103;7;36;0;174;25;58;3;11;0
6/9/2021;1423;0;48;24;0;0;0;15;0;371;358;93;77;16;49;0;158;6;0;0;6;0
5/9/2021;1417;0;55;2;0;0;0;0;2;163;121;128;113;15;10;0;105;6;13;1;2;0
4/9/2021;1686;0;79;19;0;0;0;0;4;4;135;141;137;4;19;0;106;0;6;2;2;0
3/9/2021;1967;0;84;42;0;0;0;0;2;4;165;153;147;6;38;0;148;0;135;2;2;0
2/9/2021;1418;0;49;2;1;7;0;0;1;150;88;121;114;7;24;0;125;0;4;1;1;0
1/9/2021;1424;0;69;3;1;7;0;0;3;204;182;65;44;23;5;0;143;6;16;2;2;0
31/8/2021;1670;0;77;18;1;7;0;0;2;204;182;114;100;16;18;0;135;6;16;2;2;0
30/8/2021;1046;0;37;16;0;0;0;0;0;27;1221;110;102;7;26;0;66;35;87;5;15;0
29/8/2021;1285;0;19;2;0;0;0;0;2;0;0;206;206;1;11;0;75;0;0;0;0;0
28/8/2021;1270;0;30;8;0;0;0;0;7;0;0;159;158;2;11;0;98;0;0;0;0;0
27/8/2021;1624;0;50;9;0;0;0;0;1;298;671;148;136;12;23;0;158;15;44;4;8;0
26/8/2021;1156;0;39;4;1;7;0;0;1;431;636;102;90;12;21;0;94;15;42;4;8;0
25/8/2021;1359;0;36;25;0;0;0;0;0;14;510;174;170;4;26;0;76;14;41;4;8;0
24/8/2021;1064;0;37;28;0;0;0;0;0;3;88;54;53;1;6;0;121;0;4;1;1;0
23/8/2021;1474;0;53;9;1;7;0;0;2;390;0;133;132;2;24;0;110;0;0;0;0;0
22/8/2021;1236;0;31;6;1;7;0;0;2;150;0;174;172;2;12;0;63;0;0;0;0;0
21/8/2021;1146;0;40;14;0;0;0;110;3;55;610;117;115;2;23;0;72;5;12;1;2;0
20/8/2021;1202;0;42;1;0;0;0;0;0;108;123;117;115;2;36;0;81;0;6;2;2;0
19/8/2021;1159;0;61;1;0;0;0;0;1;13;470;62;50;12;11;0;86;9;33;5;7;0
18/8/2021;1657;0;87;22;0;0;0;68;1;171;324;62;54;8;4;0;149;0;15;1;7;0
17/8/2021;1163;0;44;14;0;0;0;146;2;1110;56;115;96;18;8;0;74;0;0;0;0;0
16/8/2021;1297;0;46;27;0;0;0;146;0;12;802;94;90;5;23;0;109;0;16;5;5;0
15/8/2021;1153;0;29;6;2;7;0;53;0;500;0;156;152;4;7;0;61;0;0;0;0;0
14/8/2021;1195;0;31;14;0;0;0;0;3;1047;0;151;144;7;26;0;72;0;0;0;0;0
13/8/2021;1612;0;27;17;0;0;0;0;1;0;0;293;282;12;12;0;62;0;0;0;0;0
12/8/2021;1024;0;34;21;0;0;0;0;1;498;581;71;59;13;23;0;103;7;32;5;8;0
11/8/2021;1094;0;54;9;1;7;0;0;0;441;1244;28;21;8;23;0;122;23;104;7;32;0
10/8/2021;1209;0;75;20;0;0;0;0;0;381;114;72;72;1;19;0;99;0;0;0;0;0
9/8/2021;1139;0;48;6;3;21;0;0;0;215;903;95;77;22;31;0;79;10;32;2;8;0
8/8/2021;1121;0;49;10;2;8;0;3;5;90;364;89;81;8;24;0;74;2;2;24;30;0
7/8/2021;1141;0;47;18;0;0;0;0;0;2554;828;73;70;6;6;0;113;0;20;5;15;0
6/8/2021;945;0;14;6;0;0;0;0;0;725;0;42;35;7;31;0;148;0;0;0;0;0
5/8/2021;1557;0;54;10;0;0;0;0;0;2016;0;135;128;7;35;0;122;0;0;0;0;0
4/8/2021;1413;0;75;22;0;0;0;0;1;5;123;55;42;14;12;0;133;0;6;2;2;0
3/8/2021;1261;0;46;21;0;0;0;0;0;502;39;50;44;6;5;0;149;0;2;1;1;0
2/8/2021;1309;0;38;17;0;0;0;0;0;3;110;82;80;2;8;0;149;0;5;2;2;0
1/8/2021;1641;0;13;7;0;0;0;30;0;2;0;31;31;0;0;0;11;6;0;4;4;0
31/7/2021;1071;0;35;13;0;0;0;25;7;750;0;129;121;8;17;0;60;0;0;0;15;0
30/7/2021;1102;0;24;3;0;0;0;0;0;1;0;90;84;6;22;0;120;0;0;0;0;0
29/7/2021;1105;0;28;0;0;0;0;0;0;20;0;59;59;0;0;0;143;0;0;0;0;0
28/7/2021;1486;0;50;22;0;0;0;0;0;20;0;120;116;3;53;0;134;0;0;0;0;0
27/7/2021;1487;0;47;7;0;0;0;0;0;30;700;113;104;8;41;0;144;0;336;82;2;0
26/7/2021;1108;0;27;4;0;0;0;0;0;48;522;144;134;10;39;0;63;0;336;82;2;0
25/7/2021;1298;0;63;5;0;0;0;0;0;2016;0;47;45;3;5;0;123;0;0;0;0;0
20/6/2021;1300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/6/2021;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4/3/2021;247;0;12;0;0;0;0;0;0;0;0;32;32;0;0;0;4;0;0;0;0;0
3/3/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23/10/2020;753;0;29;0;0;0;0;0;0;0;0;90;90;0;0;0;32;0;0;0;0;0
22/10/2020;1527;0;73;0;0;0;0;0;0;0;0;26;26;0;0;0;194;0;0;0;0;0
